电视(移动咪咕),#genre#
CCTV2,http://61.144.82.99:808/hls/39/index.m3u8#http://61.144.82.99:808/hls/618/index.m3u8#http://58.19.38.162:9901/tsfile/live/1001_1.m3u8#http://111.225.94.23:8800/hls/2/index.m3u8#http://115.58.216.183:9999/hls/2/index.m3u8#http://113.103.253.240:2000/udp/239.253.43.17:5146#http://113.110.202.83:8888/udp/239.253.43.17:5146#http://183.17.224.90:8888/udp/239.253.43.17:5146
CCTV3,http://110.72.69.197:808/hls/37/index.m3u8#http://61.144.82.99:808/hls/40/index.m3u8#http://61.144.82.99:808/hls/619/index.m3u8#http://110.72.69.113:808/hls/37/index.m3u8#http://222.218.158.195:8181/tsfile/live/1016_1.m3u8#http://58.19.38.162:9901/tsfile/live/1002_1.m3u8#http://110.72.64.84:808/hls/37/index.m3u8#http://110.72.69.157:808/hls/37/index.m3u8#http://115.58.216.183:9999/hls/3/index.m3u8
CCTV4,http://111.225.95.214:8800/hls/4/index.m3u8#http://61.144.82.99:808/hls/41/index.m3u8#http://61.144.82.99:808/hls/620/index.m3u8#http://58.19.38.162:9901/tsfile/live/1003_1.m3u8#http://111.225.94.23:8800/hls/4/index.m3u8#http://115.58.216.183:9999/hls/4/index.m3u8#http://113.103.253.240:2000/udp/239.77.0.174:5146#http://113.110.202.83:8888/udp/239.77.0.194:5146#http://183.17.224.90:8888/udp/239.77.0.174:5146
CCTV5,http://110.72.69.197:808/hls/38/index.m3u8#http://61.144.82.99:808/hls/42/index.m3u8#http://61.144.82.99:808/hls/621/index.m3u8#http://110.72.69.113:808/hls/38/index.m3u8#http://222.218.158.195:8181/tsfile/live/faacts/1130_1.m3u8#http://222.218.158.195:8181/tsfile/live/0005_1.m3u8#http://58.19.38.162:9901/tsfile/live/1004_1.m3u8#http://110.72.64.84:808/hls/38/index.m3u8#http://110.72.69.157:808/hls/38/index.m3u8#http://115.58.216.183:9999/hls/5/index.m3u8
CCTV5+,http://111.225.95.214:8800/hls/101/index.m3u8#http://110.72.64.84:808/hls/14/index.m3u8#http://111.225.94.23:8800/hls/101/index.m3u8#http://110.72.69.157:808/hls/14/index.m3u8
CCTV6,http://110.72.69.197:808/hls/39/index.m3u8#http://61.144.82.99:808/hls/622/index.m3u8#http://110.72.69.113:808/hls/39/index.m3u8#http://222.218.158.195:8181/tsfile/live/0003_1.m3u8#http://58.19.38.162:9901/tsfile/live/1005_1.m3u8#http://110.72.69.157:808/hls/39/index.m3u8#http://115.58.216.183:9999/hls/6/index.m3u8#http://113.103.253.240:2000/udp/239.77.0.178:5146
CCTV7,http://111.225.95.214:8800/hls/7/index.m3u8#http://110.72.69.197:808/hls/5/index.m3u8#http://61.144.82.99:808/hls/52/index.m3u8#http://61.144.82.99:808/hls/623/index.m3u8#http://110.72.69.113:808/hls/5/index.m3u8#http://222.218.158.195:8181/tsfile/live/faacts/1124_1.m3u8#http://58.19.38.162:9901/tsfile/live/1006_1.m3u8#http://110.72.64.84:808/hls/5/index.m3u8#http://111.225.94.23:8800/hls/7/index.m3u8#http://110.72.69.157:808/hls/5/index.m3u8#http://115.58.216.183:9999/hls/7/index.m3u8
CCTV8,http://110.72.69.197:808/hls/40/index.m3u8#http://61.144.82.99:808/hls/624/index.m3u8#http://110.72.69.113:808/hls/40/index.m3u8#http://222.218.158.195:8181/tsfile/live/1074_1.m3u8#http://58.19.38.162:9901/tsfile/live/1007_1.m3u8#http://110.72.64.84:808/hls/40/index.m3u8#http://110.72.69.157:808/hls/40/index.m3u8
CCTV9,http://111.225.95.214:8800/hls/9/index.m3u8#http://110.72.69.197:808/hls/119/index.m3u8#http://61.144.82.99:808/hls/625/index.m3u8#http://110.72.69.113:808/hls/119/index.m3u8#http://222.218.158.195:8181/tsfile/live/1022_1.m3u8#http://58.19.38.162:9901/tsfile/live/1008_1.m3u8#http://110.72.64.84:808/hls/119/index.m3u8#http://111.225.94.23:8800/hls/9/index.m3u8#http://110.72.69.157:808/hls/119/index.m3u8#http://115.58.216.183:9999/hls/9/index.m3u8
CCTV10,http://61.144.82.99:808/hls/626/index.m3u8#http://58.19.38.162:9901/tsfile/live/1009_1.m3u8#http://111.225.94.23:8800/hls/10/index.m3u8#http://115.58.216.183:9999/hls/10/index.m3u8
CCTV11,http://61.144.82.99:808/hls/627/index.m3u8#http://58.19.38.162:9901/tsfile/live/1010_1.m3u8#http://111.225.94.23:8800/hls/11/index.m3u8#http://115.58.216.183:9999/hls/11/index.m3u8
CCTV12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8#http://111.225.94.23:8800/hls/12/index.m3u8
CCTV13,http://111.225.95.214:8800/hls/13/index.m3u8#http://58.19.38.162:9901/tsfile/live/1012_1.m3u8#http://120.7.86.53:808/hls/13/index.m3u8#http://111.225.94.23:8800/hls/13/index.m3u8#http://115.58.216.183:9999/hls/13/index.m3u8
CCTV14,http://111.225.95.214:8800/hls/14/index.m3u8#http://61.144.82.99:808/hls/630/index.m3u8#http://58.19.38.162:9901/tsfile/live/1013_1.m3u8#http://111.225.94.23:8800/hls/14/index.m3u8#http://115.58.216.183:9999/hls/14/index.m3u8
CCTV15,http://111.225.95.214:8800/hls/15/index.m3u8#http://61.144.82.99:808/hls/631/index.m3u8#http://111.225.94.23:8800/hls/15/index.m3u8#http://115.58.216.183:9999/hls/15/index.m3u8
CCTV16奥林匹克4K,http://111.75.73.138:8888/udp/239.252.220.237:5140
CCTV17,http://222.218.158.195:8181/tsfile/live/1115_1.m3u8
CCTV高尔夫·网球,http://61.144.82.99:808/hls/693/index.m3u8
CCTV第一剧场,http://61.144.82.99:808/hls/77/index.m3u8
CCTV音乐K1,http://222.218.158.195:8181/tsfile/live/1050_1.m3u8
CCTVNEWS,http://111.225.95.214:8800/hls/16/index.m3u8#http://111.225.94.23:8800/hls/16/index.m3u8
CCTV兵器科技,http://61.144.82.99:808/hls/689/index.m3u8
CCTV电视指南,http://61.144.82.99:808/hls/690/index.m3u8
CCTV风云足球,http://61.144.82.99:808/hls/691/index.m3u8
CCTV台球,http://61.144.82.99:808/hls/692/index.m3u8
CCTV怀旧剧场,http://61.144.82.99:808/hls/696/index.m3u8
CCTV风云剧场,http://61.144.82.99:808/hls/697/index.m3u8
CCTV央视文化精品,http://61.144.82.99:808/hls/698/index.m3u8

翡翠台,https://ali.hlspull.yximgs.com/live/bb663367aeae1d752c435ab3699ab26d.flv
CETV早期教育,http://61.144.82.99:808/hls/701/index.m3u8
CETV4,http://111.225.94.23:8800/hls/96/index.m3u8
浙江卫视,http://110.72.69.197:808/hls/1006/index.m3u8#http://110.72.69.113:808/hls/1006/index.m3u8#http://111.225.94.23:8800/hls/31/index.m3u8#http://115.58.216.183:9999/hls/35/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#http://110.72.64.84:808/hls/1006/index.m3u8#http://110.72.69.157:808/hls/1006/index.m3u8
江苏卫视,http://111.225.95.214:8800/hls/32/index.m3u8#http://110.72.69.197:808/hls/1007/index.m3u8#http://110.72.69.113:808/hls/1007/index.m3u8#http://111.225.94.23:8800/hls/32/index.m3u8#http://115.58.216.183:9999/hls/36/index.m3u8#http://113.110.202.83:8888/udp/239.77.1.149:5146#http://183.17.224.90:8888/udp/239.77.0.126:5146#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8#http://110.72.69.197:808/hls/1005/index.m3u8#http://110.72.69.113:808/hls/1005/index.m3u8#http://111.225.94.23:8800/hls/34/index.m3u8#http://115.58.216.183:9999/hls/37/index.m3u8#http://183.17.224.90:8888/udp/239.77.1.151:5146#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?#http://110.72.64.84:808/hls/1005/index.m3u8
深圳卫视,http://110.72.69.197:808/hls/1008/index.m3u8#http://110.72.69.113:808/hls/1008/index.m3u8#http://61.144.82.99:808/hls/7/index.m3u8#http://183.17.224.90:8888/udp/239.77.1.148:5146#http://183.17.224.90:8888/udp/239.77.0.130:5146#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://110.72.64.84:808/hls/1008/index.m3u8#http://110.72.69.157:808/hls/1008/index.m3u8
广东卫视,http://111.225.95.214:8800/hls/49/index.m3u8#http://110.72.69.197:808/hls/1002/index.m3u8#http://61.144.82.99:808/hls/2/index.m3u8#http://61.144.82.99:808/hls/601/index.m3u8#http://111.225.94.23:8800/hls/49/index.m3u8#http://115.58.216.183:9999/hls/38/index.m3u8#http://113.110.202.83:8888/udp/239.77.0.166:5146#http://183.17.224.90:8888/udp/239.77.1.152:5146#http://183.17.224.90:8888/udp/239.77.0.166:5146#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://110.72.64.84:808/hls/1002/index.m3u8#http://110.72.69.157:808/hls/1002/index.m3u8
南方卫视,http://222.218.158.195:8181/tsfile/live/1003_1.m3u8
湖南卫视,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8#http://110.72.69.113:808/hls/1003/index.m3u8#http://183.17.224.90:8888/udp/239.77.1.129:5146#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://110.72.64.84:808/hls/1003/index.m3u8#http://110.72.69.157:808/hls/1003/index.m3u8
北京卫视K1,http://222.218.158.195:8181/tsfile/live/faacts/1104_1.m3u8
江苏卫视K1,http://222.218.158.195:8181/tsfile/live/faacts/1105_1.m3u8
广东卫视K1,http://222.218.158.195:8181/tsfile/live/faacts/1106_1.m3u8
天津卫视K1,http://222.218.158.195:8181/tsfile/live/faacts/1108_1.m3u8
湖南卫视K2,http://222.218.158.195:8181/tsfile/live/faacts/1127_1.m3u8
安徽卫视K2,http://222.218.158.195:8181/tsfile/live/faacts/1125_1.m3u8
深圳卫视K2,http://222.218.158.195:8181/tsfile/live/faacts/1131_1.m3u8
精彩影视x,http://222.218.158.195:8181/tsfile/live/1026_1.m3u8
浙江卫视K2,http://222.218.158.195:8181/tsfile/live/faacts/1129_1.m3u8

熊猫频道,#genre#
熊猫 频道,http://125.70.163.227:8888/udp/239.93.0.211:9148
都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
都江堰妃妃,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
都江堰娅祥,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
都江堰瑞瑞,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
都江堰壹壹玖玖,http://gcalic.v.myalicdn.com/gc/xiongmao14_1/index.m3u8
都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
怡然2,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
基地幼年园1,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园2,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
基地母子园1,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
基地母子园2,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
基地幼儿园1,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园2,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
基地成年园1,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
基地成年园2,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
基地别墅1,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
基地别墅2,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8
熊猫频道1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
熊猫频道2,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao02_2/index.m3u8
熊猫频道3,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8
熊猫频道4,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao04_2/index.m3u8
熊猫频道5,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao05_2/index.m3u8
熊猫频道6,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao06_2/index.m3u8
熊猫频道7,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao07_2/index.m3u8
熊猫频道8,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao08_2/index.m3u8
熊猫频道9,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao09_2/index.m3u8
熊猫频道10,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao10_2/index.m3u8
大丰麋鹿,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8
白马雪山,http://gcalic.v.myalicdn.com/gc/xiongmao24_1/index.m3u8
成都高清,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
都江堰高清,http://gcalic.v.myalicdn.com/gc/ipanda1000_1td/index.m3u8


广东频道,#genre#
广东民生,http://sxd.nyxg.vip:40000/udp/239.77.0.225:5146
广东新闻,http://sxd.nyxg.vip:40000/udp/239.77.0.173:5146
广东珠江,http://sxd.nyxg.vip:40000/udp/239.77.0.1:5146
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.112:5146
广东科教,http://sxd.nyxg.vip:40000/udp/239.77.0.85:5146
广东影视,http://sxd.nyxg.vip:40000/udp/239.77.0.217:5146
广东少儿,http://sxd.nyxg.vip:40000/udp/239.77.0.250:5146
广东卡通,http://sxd.nyxg.vip:40000/udp/239.77.0.179:5146
广东科教,http://sxd.nyxg.vip:40000/udp/239.77.0.167:5146
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.168:5146
广东珠江,http://sxd.nyxg.vip:40000/udp/239.77.0.114:5146
广东南方卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.215:5146
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东经济科教,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
广东国际,http://php.jdshipin.com:8880/chudian.php?id=gdgj
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东综艺4K,http://php.jdshipin.com:8880/chudian.php?id=gdzy

佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss

广州综合,http://r.jdshipin.com/iR6Gq
广州南国都市,http://r.jdshipin.com/nWaZO
广州影视,http://r.jdshipin.com/TcKr2
广州综合,http://sxd.nyxg.vip:40000/udp/239.253.43.71:5146
广州新闻,http://sxd.nyxg.vip:40000/udp/239.253.43.72:5146
广州影视,http://sxd.nyxg.vip:40000/udp/239.253.43.73:5146
广州法治,http://sxd.nyxg.vip:40000/udp/239.253.43.74:5146
广州竞赛,http://sxd.nyxg.vip:40000/udp/239.253.43.75:5146
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
南国都市4K,http://sxd.nyxg.vip:40000/udp/239.253.43.99:5146
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
增城电视台,http://pl1.cloud.dayang.com.cn/live/10062_E5i2s6.m3u8
深圳体育,http://sxd.nyxg.vip:40000/udp/239.77.1.128:5146
深圳公共,http://sxd.nyxg.vip:40000/udp/239.77.1.178:5146
深圳都市,http://sxd.nyxg.vip:40000/udp/239.77.1.176:5146
深圳电视剧,http://sxd.nyxg.vip:40000/udp/239.77.1.177:5146
深圳公共,http://sxd.nyxg.vip:40000/udp/239.77.1.242:5146
深圳娱乐,http://sxd.nyxg.vip:40000/udp/239.77.1.243:5146
深圳体育,http://sxd.nyxg.vip:40000/udp/239.77.1.140:5146
深圳少儿,http://sxd.nyxg.vip:40000/udp/239.77.1.244:5146
深圳宝安,http://sxd.nyxg.vip:40000/udp/239.77.1.67:5146
深圳龙岗,http://sxd.nyxg.vip:40000/udp/239.77.1.223:5146
深圳东部,http://sxd.nyxg.vip:40000/udp/239.77.1.224:5146
深圳众创,http://sxd.nyxg.vip:40000/udp/239.77.1.247:5146
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
深圳都市,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel46/index.m3u8
深圳电视剧,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel47/index.m3u8
深圳财*生活,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel48/index.m3u8
深圳娱乐,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel49/index.m3u8
深圳体育健康,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel50/index.m3u8
深圳少儿,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel51/index.m3u8
深圳公共,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel52/index.m3u8
深圳宜和购物,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel42/index.m3u8
深圳蛇口,http://223.109.210.49/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel37/index.m3u8
惠州新闻综合,http://php.jdshipin.com:8880/chudian.php?id=hzxw
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
紫金综合,http://php.jdshipin.com:8880/chudian.php?id=zjzh
惠阳电视台,http://php.jdshipin.com:8880/chudian.php?id=hytv
东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv




港澳台频道,#genre#
TVB J2台,http://ali.hlspull.yximgs.com/live/twlivefhwohdpthzyfiplhdftuzfbvdimhdznbzszbcvxzfzsehbvbztvbd2.flv
TVB 翡翠台,http://ali.hlspull.yximgs.com/live/twlivefhwwzpthzyztzzzxcxbfhzzfzvhdtzdvbtvzszxzfszzcvbctvbfc.flv
TVB 明珠台,http://ali.hlspull.yximgs.com/live/twlivetcfzhvdzzxcodwoetzmncthvbstyreyhbnnvbdzzwthzyztvbmz.flv
TVB 星河台(国),http://ali.hlspull.yximgs.com/live/twlivezzmzptvzszzwxnhzzwzztzzztyfzszzszcfzxfzwmxzdtvbxh.flv
TVB 无线新闻台,http://ali.hlspull.yximgs.com/live/twlivefhwzpthlzzszszzbvdlzdmnbzhdhyzyztvbwxxw.flv
TVB 财经体育资1台,http://ali.hlspull.yximgs.com/live/twlivefhwylwpthzyzzfzxvzlmnduhyzmtvbwxcd.flv
TVB 财经体育资2台,http://ali.hlspull.yximgs.com/live/twlivefhwohdpthfgfbvcfghzyfzszbcvxzvbxzsfzfzsehbvbztvbd5.flv
VIU TV台,http://ali.hlspull.yximgs.com/live/twlivefhtzznzzdldzluzobnmzzhnbbmdzlpthzyzvzutv.flv
